The Medea,Euripides,N,N,N
The New Jim Crow,Michelle Alexander,Y,Y,N
The Plot Against America ,Phillip Roth,N,N,N
The Power of Habit,Charles Duhigg,N,N,N
The Prince,Machiavelli,N,N,N
The Program Era: Postwar Fiction and the Rise of Creative Writing,Mark McGurl,N,N,N
The Red Queen: Sex and the Evolution of Human Nature ,Matt Ridley,N,N,N
The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,N,N,N
"The Second Machine Age: Work, Progress, and Prosperity in a Time of Brilliant Technologies",Erik Brynjolfsson &Andrew McAfee,N,N,N
The Signal and the Noise: Why So Many Predictions Fail–but Some Don’t ,Nate Silver,N,N,N
The Symposium,Plato,N,N,N
"The Three Marriages: Reimagining Work, Self and Relationship",David Whyte,N,N,N
the winner take all society,robert h frank,N,N,N
The Wright Brothers,David McCullough ,N,N,N
"They Told Me Not to Take that Job: Tumult, Betrayal, Heroics, and the Transformation of Lincoln Center",Reynold Levy,N,N,N
"Thinking Fast, Thinking Slow",Daniel Kahneman,N,N,N
toyota under fire,jeffrey liker,N,N,N
Undocumented: A Dominican Boy’s Odyssey From a Homeless Shelter to the Ivy League,Dan-el Padilla Peralta,N,Y,N
"Vij’s at Home: Relax, Honey",Meeru Dhalwala & Vikram Vij,Y,Y,N
"Waterloo: The History of Four Days, Three Armies, and Three Battles",Bernard Cornwell,N,N,N
Wealth of Nations,Adam Smith,N,N,N
What I Talk About When I Talk About Running,Haruki Murakami,N,Y,N
What Works for Women at Work: Four Patterns Working Women,Joan C. Williams &Rachel Dempsey,Y,N,N
When and Where I Enter: The Impact of Black Women on Race and Sex in America,Paula Giddings,Y,Y,N
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoglu & James Robinson,N,N,N
Writing & Difference ,Jacques Derrida,N,N,N
Zealot: Times of Jesus of Nazareth,Reza Aslan,N,Y,N
"Zero to One: Notes on Startups, or How to Build the Future ",Peter Thiel &Blake Masters,N,N,N
A Death in the Family,James Agee,N,N,n
A Heart-Breaking Work of Staggering Genius,David Eggers,N,N,N
a lover’s discourse: fragments,roland barthes,N,N,n
A Walk in the Woods,Bill Bryson,N,N,N
Adapt: Why Success Always Starts with Failure ,Tim Harford,N,n,N
Against interpretation,susan sontag,Y,N,N
At Home: A Short History of Private Life,Bill Bryson,N,N,N
Capital in the Twenty-First Century,Thomas Piketty,N,n,N
Citizen,Claudia Rankine,Y,Y,N
Faster,James Gleick,N,N,N
Feynman ,Jim Ottaviani&Leland Myrick ,N,N,N
GEEK SUBLIME ,Vikram Chandra,N,Y,N
giving notice,freade kapor klein,y,N,N
Good Enough to Dream,Roger Kahn,N,N,N
History of the Peloponnesian War,Thucydides,N,n,N
how to be a woman,caitlin moran,Y,N,N
after visiting friends,michael hainey,n,n,n
Of Orcas and Men,David Neiwert,n,N,N
On Photography,Susan Sontag,Y,N,N
Soul of a New Machine,Tracy Kidder,N,n,N
Steve Jobs,Walter Isaacson,N,N,N
styles of radical will,susan sontag,Y,N,N
The Innovators,Walter Isaacson,N,N,N
The Theory of Political Coalitions ,William H. Riker,N,N,N
A Confederacy of Dunces,John Kennedy Toole,N,N,F
A Gun for Sale (aka This Gun for Hire),Graham Greene,N,N,F
A Portrait of the Artist as a Young Man,James Joyce,N,N,F
A Prayer for Owen Meany,John Irving,N,N,F
A Tale of Two Cities,Charles Dickens,N,N,F
A Wild Sheep Chase,Haruki Murakami,N,Y,F
